timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
2049,-0.0404057893,0.1342726987,-42.5860698223,-0.4553211331
52049,-0.0603923831,0.0318254648,-44.5878329158,-0.5222379565
102049,-0.0637769980,0.0228200557,-46.5143158436,-0.5347155333
152049,-0.0593403803,0.0257398376,-48.6049584985,-0.5460290909
202049,-0.0589284432,0.0204785475,-50.7089277864,-0.5916305780
252049,-0.0645855531,0.0114907104,-53.1348639488,-0.6155864000
302049,-0.0586375054,0.0140811803,-55.2935507894,-0.6189640760
352049,-0.0637360889,0.0088938418,-57.1890625954,-0.6658492088
402049,-0.0671176271,0.0107284519,-59.3431382656,-0.6686809659
452049,-0.0668615092,0.0076730154,-61.4248224139,-0.7137852311
502049,-0.0715091999,0.0080088965,-63.4888537526,-0.7263774276
552049,-0.0669304452,0.0096329986,-65.5609360218,-0.7318407893
602049,-0.0640725385,0.0067218344,-67.7239183187,-0.7894654274
652049,-0.0672814835,0.0062946035,-69.8614959002,-0.7938648462
702049,-0.0689253149,0.0041323660,-72.0776871204,-0.8231235743
752049,-0.0743254652,0.0038208036,-74.4536089420,-0.8421582580
802049,-0.0672522500,0.0042439051,-76.3582568407,-0.8572397828
852049,-0.0722329417,0.0033925782,-78.5640177727,-0.8990689516
902049,-0.0758705560,0.0028294421,-80.5108574629,-0.9149839282
952049,-0.0723385924,0.0022605112,-82.2916537523,-0.9458556175
1002049,-0.0703522603,0.0026382390,-84.0792486191,-0.9416472912
1052049,-0.0720570869,0.0022040096,-86.2730736256,-0.9642459750
1102049,-0.0713168615,0.0024372120,-88.3833699465,-1.0038341284
1152049,-0.0646090586,0.0027129978,-90.4471849203,-1.0184617043
1202049,-0.0673352016,0.0028013126,-92.6931638956,-1.0200355053
1252049,-0.0681230702,0.0025969069,-94.9467509985,-1.0472266674
1302049,-0.0661514042,0.0033015915,-97.0362251759,-1.0901002884
1352049,-0.0658420440,0.0048247332,-99.0743215084,-1.0954756737
1402049,-0.0648007967,0.0044183255,-101.3869004011,-1.1167242527
1452049,-0.0634055854,0.0054651126,-103.8808117628,-1.1279102564
1502049,-0.0565415651,0.0054115607,-105.9727308035,-1.1238805056
