timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718590140,381.4155378342,nan,nan
25057,-454.7413692474,60.0364589393,nan,nan
45057,-145.7549414635,3.2678144164,nan,nan
65057,-27.5743079185,0.0338996652,nan,nan
85057,-5.4195258170,0.0106873667,nan,nan
105057,-0.7146315929,0.0136041849,nan,nan
125057,0.4136654474,0.0054729386,nan,nan
145057,0.9667911343,0.0023431832,nan,nan
165057,1.0444024708,0.0019494481,nan,nan
185057,1.0100511927,0.0012176244,nan,nan
200150,1.0016561244,0.0008232640,nan,nan
