timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718914390,382.1803264618,nan,nan
25057,-440.8683242798,57.4760399163,nan,nan
45057,-134.2511191368,2.9992662519,nan,nan
65057,-26.2822743058,0.0356704250,nan,nan
85057,-5.5616274625,0.0118327992,nan,nan
105057,-1.5096655190,0.0098283194,nan,nan
125057,-0.3920767764,0.0042273311,nan,nan
145057,-0.4713672791,0.0047371549,nan,nan
165057,-0.8947125189,0.0035009546,nan,nan
185057,-0.9926742017,0.0026898787,nan,nan
200150,-1.1065745130,0.0027888396,nan,nan
