timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718554378,382.5282697678,nan,nan
25057,-465.3490695953,61.7914638519,nan,nan
45057,-152.8465929031,3.5135286059,nan,nan
65057,-34.5481020212,0.0669330254,nan,nan
85057,-9.0482602417,0.0107009299,nan,nan
105057,-3.7001607269,0.0072766083,nan,nan
125057,-2.2526202574,0.0041948994,nan,nan
145057,-2.2477706522,0.0029381329,nan,nan
165057,-2.4637330174,0.0025443394,nan,nan
185057,-2.7388452664,0.0023111756,nan,nan
200150,-2.8455507383,0.0023244444,nan,nan
