timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718655705,383.0255680084,nan,nan
25057,-465.7845964432,64.0266254544,nan,nan
45057,-142.8146080971,1.9945601337,nan,nan
65057,-28.9484646320,0.1008825004,nan,nan
85057,-10.1227535009,0.0353391973,nan,nan
105057,-10.3649975657,0.0926161798,nan,nan
125057,-10.7673992217,0.0993314476,nan,nan
145057,-9.5410017669,0.0981524622,nan,nan
165057,-9.6943770349,0.0969427715,nan,nan
185057,-10.0398526192,0.0808569845,nan,nan
201086,-10.1995140016,0.0613834086,nan,nan
