timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718561530,381.8889513016,nan,nan
25057,-449.6821184158,58.5963366330,nan,nan
45057,-148.9645605087,3.2099948004,nan,nan
65057,-31.1781483889,0.0500407332,nan,nan
85057,-7.0682977587,0.0071794522,nan,nan
105057,-1.7821931206,0.0056498361,nan,nan
125057,-0.3951410977,0.0017472670,nan,nan
145057,-0.0011560367,0.0013763032,nan,nan
165057,0.0304941852,0.0007077547,nan,nan
185057,0.0092985162,0.0005522427,nan,nan
200150,-0.0084627358,0.0002831200,nan,nan
