timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718570471,381.8961639404,nan,nan
25057,-462.8553199768,62.3819526732,nan,nan
45057,-159.2711219788,7.1881413236,nan,nan
65057,-22.1046500802,0.1623284551,nan,nan
85057,-3.5910244957,0.0016418361,nan,nan
105057,-0.4521044791,0.0005631467,nan,nan
125057,-0.0078142849,0.0002193546,nan,nan
145057,0.0242254983,0.0002026773,nan,nan
165057,-0.0591594176,0.0000891673,nan,nan
185057,-0.1195310708,0.0001333798,nan,nan
200150,-0.1444598017,0.0000817746,nan,nan
