timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718596101,381.9043350220,nan,nan
25057,-445.2332220078,54.9110102654,nan,nan
45057,-146.3468151093,2.5996293332,nan,nan
65057,-30.4736752510,0.0483914529,nan,nan
85057,-7.1648855358,0.0088229157,nan,nan
105057,-1.6111491248,0.0022467518,nan,nan
125057,-0.2235785061,0.0013012664,nan,nan
145057,-0.0465084886,0.0016746090,nan,nan
165057,-0.0253569729,0.0006549623,nan,nan
185057,-0.1328620366,0.0008834055,nan,nan
200150,-0.2627139692,0.0005619592,nan,nan
