timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718339801,383.8592014313,nan,nan
25057,-467.7168674469,63.9762290716,nan,nan
45057,-168.1135168076,9.9983042479,nan,nan
65057,-42.1742414236,1.0597299561,nan,nan
85057,-12.7910901606,0.6179499961,nan,nan
105057,-9.5007759333,0.3804852683,nan,nan
125057,-8.9009898603,0.2718995344,nan,nan
145057,-9.8959208429,0.2220842792,nan,nan
165057,-10.9419986904,0.2387464098,nan,nan
185057,-10.9332974255,0.2205573898,nan,nan
205057,-10.3415367007,0.2089641537,nan,nan
225057,-9.1158979237,0.1920769596,nan,nan
231175,-8.7939068079,0.1851967610,nan,nan
