timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718572855,381.8923578262,nan,nan
25057,-440.3581495285,56.2877850533,nan,nan
45057,-153.7578120232,4.9445381835,nan,nan
65057,-29.8232176304,0.0669495135,nan,nan
85057,-5.1533009261,0.0033447442,nan,nan
105057,-0.9195548389,0.0018356115,nan,nan
125057,-0.0303250849,0.0004770580,nan,nan
145057,0.0913055409,0.0002661005,nan,nan
165057,0.1161570405,0.0001910533,nan,nan
185057,0.0857975627,0.0002601526,nan,nan
200150,0.0243377207,0.0002605451,nan,nan
