timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718594909,383.2135086060,nan,nan
25057,-461.5330772400,57.9573251307,nan,nan
45057,-153.0623364449,3.7421921305,nan,nan
65057,-34.6202356815,0.0702916855,nan,nan
85057,-9.7701385915,0.0124052775,nan,nan
105057,-4.4540396482,0.0042507048,nan,nan
125057,-3.2882473171,0.0030577827,nan,nan
145057,-2.8826022148,0.0018972538,nan,nan
165057,-2.6160030141,0.0016779170,nan,nan
185057,-2.4211075678,0.0005973887,nan,nan
200150,-2.4886728749,0.0004429112,nan,nan
