timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718572259,381.8938455582,nan,nan
25057,-455.3393135071,59.2816085219,nan,nan
45057,-143.8394999504,5.5761812106,nan,nan
65057,-21.2999231815,0.0462936086,nan,nan
85057,-3.6253420115,0.0039260758,nan,nan
105057,-0.4591736002,0.0004355153,nan,nan
125057,0.0367395513,0.0002826921,nan,nan
145057,0.1232110998,0.0001233697,nan,nan
165057,0.0170674059,0.0001479491,nan,nan
185057,-0.0166794849,0.0001571284,nan,nan
200150,-0.0524847459,0.0001206999,nan,nan
