timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718584180,386.7403631210,nan,nan
25057,-472.0679445267,65.1015421152,nan,nan
45057,-175.0190253258,9.5248175710,nan,nan
65057,-39.9978026152,1.0331210196,nan,nan
85057,-19.8169241548,1.0428711902,nan,nan
105057,-17.1672999859,0.7377905808,nan,nan
125057,-18.4713733196,0.5943171075,nan,nan
145057,-22.1289801598,0.4802300604,nan,nan
165057,-23.5614262819,1.7819810361,nan,nan
185057,-59.6797741652,2.5913501978,nan,nan
205057,-34.8687539101,1.4114821330,nan,nan
225057,-27.7018932700,0.9822136946,nan,nan
245057,-26.3837407827,0.5449728835,nan,nan
265057,-28.8596280813,0.6415591761,nan,nan
285057,-31.5834311247,3.1026936024,nan,nan
305057,-30.4681493640,1.0218352154,nan,nan
325057,-28.3219256401,1.5957284644,nan,nan
345057,-29.1069741845,1.2936334517,nan,nan
365057,-32.2768604755,0.6122123646,nan,nan
385057,-31.7755586505,0.3992279829,nan,nan
405057,-34.9086610079,0.4641402434,nan,nan
425057,-40.6061893702,43.1566197379,nan,nan
445057,-50.4623030424,53.6660608910,nan,nan
465057,-42.9981294870,0.4645558568,nan,nan
485057,-39.8950285912,0.2848338187,nan,nan
505057,-39.0591571331,8.1589573119,nan,nan
525057,-84.1807074547,33.4237724207,nan,nan
545057,-48.3841167688,0.6218374502,nan,nan
565057,-49.7514795065,1.9356569573,nan,nan
585057,-74.4248450994,14.4440270402,nan,nan
605057,-66.8401657343,2654.0497983210,nan,nan
625057,-57.0188959837,10.6765635237,nan,nan
645057,-49.4910197258,5.8590291664,nan,nan
665057,-55.5856398344,15.4399677068,nan,nan
685057,-48.3388335705,26.9485230092,nan,nan
705057,-47.6055157185,10.0115194917,nan,nan
725057,-48.3789438009,12.2495540716,nan,nan
745057,-46.3877930641,40.8179970980,nan,nan
765057,-45.8891295195,23.1371324807,nan,nan
