timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718696237,381.1745090485,nan,nan
25057,-448.1229124069,54.4620498717,nan,nan
45057,-136.0806531906,3.3466961645,nan,nan
65057,-23.7005054951,0.0479008473,nan,nan
85057,-3.3671765327,0.0173103179,nan,nan
105057,0.4818988959,0.0137612877,nan,nan
125057,1.6590000801,0.0091297456,nan,nan
145057,1.9653469026,0.0074024500,nan,nan
165057,1.7599204294,0.0041473528,nan,nan
185057,1.5040818974,0.0025527596,nan,nan
200150,1.3275088109,0.0018585844,nan,nan
