timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718559146,382.0572204590,nan,nan
25057,-462.0353479385,61.5779781938,nan,nan
45057,-155.4105582237,5.5532081686,nan,nan
65057,-31.5187916756,0.0717542481,nan,nan
85057,-6.5669766963,0.0027779141,nan,nan
105057,-1.8393950164,0.0015298553,nan,nan
125057,-0.9143303204,0.0004986121,nan,nan
145057,-0.6787099559,0.0003746740,nan,nan
165057,-0.6866420135,0.0002415424,nan,nan
185057,-0.6596347392,0.0003176698,nan,nan
200150,-0.6796979494,0.0002207200,nan,nan
