timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718667626,381.9651813507,nan,nan
25057,-460.1645278931,60.1880514622,nan,nan
45057,-168.4021577835,7.1928447336,nan,nan
65057,-35.4614619017,0.0370179541,nan,nan
85057,-7.7816821933,0.0095627275,nan,nan
105057,-2.2114743665,0.0052430110,nan,nan
125057,-1.3176266924,0.0056637676,nan,nan
145057,-1.6730731763,0.0072613224,nan,nan
165057,-1.7292560637,0.0078521554,nan,nan
185057,-1.9779068902,0.0100185113,nan,nan
200150,-2.2574251965,0.0095730370,nan,nan
