timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718703389,382.3961095810,nan,nan
25057,-444.5336704254,56.9401467443,nan,nan
45057,-147.6954593658,3.4763133973,nan,nan
65057,-31.6457509398,0.0425853573,nan,nan
85057,-8.6998202205,0.0203146233,nan,nan
105057,-3.6419963166,0.0023865695,nan,nan
125057,-1.8492209278,0.0027225454,nan,nan
145057,-1.3284385651,0.0013527537,nan,nan
165057,-1.1633810326,0.0012895614,nan,nan
185057,-1.1711439230,0.0005572946,nan,nan
200150,-1.2394319028,0.0003377627,nan,nan
