timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718600273,381.7442550659,nan,nan
25057,-450.6271162033,56.9768500924,nan,nan
45057,-139.0764436722,5.5148339756,nan,nan
65057,-23.0293545127,0.0355931757,nan,nan
85057,-3.6516753584,0.0033925656,nan,nan
105057,-0.2114179861,0.0014927048,nan,nan
125057,0.4257219881,0.0007021916,nan,nan
145057,0.4925562423,0.0007487317,nan,nan
165057,0.4799097888,0.0005609671,nan,nan
185057,0.3810334867,0.0004384475,nan,nan
200150,0.3100163322,0.0003348336,nan,nan
