timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718577623,381.9040727615,nan,nan
25057,-463.0481758118,63.9767186046,nan,nan
45057,-159.7508125305,7.1160744578,nan,nan
65057,-28.0960761905,0.0411063274,nan,nan
85057,-4.8505111486,0.0031186795,nan,nan
105057,-0.8486998659,0.0008617107,nan,nan
125057,-0.0914272752,0.0002866784,nan,nan
145057,0.0343497653,0.0006759613,nan,nan
165057,-0.0329045545,0.0003409092,nan,nan
185057,-0.1241437735,0.0003599550,nan,nan
200150,-0.1763438829,0.0002057433,nan,nan
