timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718592525,383.2892274857,nan,nan
25057,-465.2913618088,61.3800598085,nan,nan
45057,-152.9373173714,5.1230586022,nan,nan
65057,-32.1006803513,0.0580291209,nan,nan
85057,-7.9224506319,0.0054681914,nan,nan
105057,-3.9433238059,0.0023197932,nan,nan
125057,-3.0957752466,0.0011615803,nan,nan
145057,-2.8512332439,0.0012750583,nan,nan
165057,-2.6625805050,0.0007732329,nan,nan
185057,-2.6194419488,0.0005359123,nan,nan
200150,-2.7967483774,0.0006162023,nan,nan
