timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
5057,-20.8718592525,383.2892274857,nan,nan
25057,-465.2913618088,61.3800598085,nan,nan
45057,-152.9373173714,5.1230586022,nan,nan
65057,-32.4208393097,0.0430000687,nan,nan
85057,-7.8089064658,0.0112706261,nan,nan
105057,-3.8340476006,0.0023545666,nan,nan
125057,-3.2037405223,0.0012317704,nan,nan
145057,-2.8467393741,0.0022879976,nan,nan
165057,-2.5707803145,0.0007369349,nan,nan
185057,-2.6217557862,0.0005268337,nan,nan
200150,-2.6673260406,0.0005274069,nan,nan
