timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0440560047,0.0019204420,nan,nan
30049,0.5602677446,0.0006213502,nan,nan
50049,0.9689967074,0.0003756285,nan,nan
70049,1.0260703359,0.0002550386,nan,nan
90049,1.0036856104,0.0001733852,nan,nan
110049,0.9498420060,0.0001298269,nan,nan
130049,0.9242400490,0.0001092088,nan,nan
150049,0.8992569260,0.0000997548,nan,nan
170049,0.8707447778,0.0000947474,nan,nan
190049,0.8693477418,0.0000881311,nan,nan
200150,0.8540304527,0.0001352504,nan,nan
