timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0004597676,0.0198793163,nan,nan
30049,0.1507513579,0.0026007720,nan,nan
50049,-0.6610415457,0.0057405934,nan,nan
70049,-0.8637143336,0.0067044411,nan,nan
90049,-1.0360974185,0.0041403786,nan,nan
110049,-1.1108287163,0.0032790956,nan,nan
130049,-1.2223101705,0.0036323024,nan,nan
150049,-1.1921548881,0.0035005395,nan,nan
170049,-1.2974669561,0.0035133228,nan,nan
190049,-1.3076582812,0.0030188404,nan,nan
200313,-1.3673028685,0.0031710015,nan,nan
