timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0084379056,0.0050976401,nan,nan
30049,-0.5093041649,0.0022619178,nan,nan
50049,-0.5692053568,0.0019084346,nan,nan
70049,-1.0921116136,0.0037648185,nan,nan
90049,-2.1046868712,0.0031772922,nan,nan
110049,-2.4820441306,0.0031427565,nan,nan
130049,-2.6434632689,0.0028560601,nan,nan
150049,-2.8147011325,0.0027004316,nan,nan
170049,-3.0006813705,0.0024554677,nan,nan
190049,-3.0944469869,0.0026231356,nan,nan
200150,-3.1346647665,0.0026873341,nan,nan
