timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0144690583,0.0329736940,nan,nan
30049,-5.2450086325,0.0665409171,nan,nan
50049,-10.8294613361,0.0778673113,nan,nan
70049,-12.7924228609,0.0673383816,nan,nan
90049,-15.4732886851,0.0655699630,nan,nan
110049,-16.6934645474,0.0606679969,nan,nan
130049,-17.8878824115,0.0643840048,nan,nan
150049,-18.5756798983,0.0588779663,nan,nan
170049,-19.3440497518,0.0594092659,nan,nan
190049,-19.5613716841,0.0635644100,nan,nan
201666,-19.5718965530,0.0709707504,nan,nan
