timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0197277181,0.0019458309,nan,nan
30049,0.0809649599,0.0000592148,nan,nan
50049,-0.0863192754,0.0000749208,nan,nan
70049,-0.0958347670,0.0000632708,nan,nan
90049,-0.0990380712,0.0000675091,nan,nan
110049,-0.1134928940,0.0000457137,nan,nan
130049,-0.1290101404,0.0000559057,nan,nan
150049,-0.1206893541,0.0000672019,nan,nan
170049,-0.1405383367,0.0000495594,nan,nan
190049,-0.1506981584,0.0000752926,nan,nan
200150,-0.1411318225,0.0000495112,nan,nan
