timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0198008573,0.0019488146,nan,nan
30049,0.0011156808,0.0000659674,nan,nan
50049,-0.1483291062,0.0001264803,nan,nan
70049,-0.1016805060,0.0000921834,nan,nan
90049,-0.1315886052,0.0000510673,nan,nan
110049,-0.1593289324,0.0000481802,nan,nan
130049,-0.1726500946,0.0000500398,nan,nan
150049,-0.1821882715,0.0000526989,nan,nan
170049,-0.1969611594,0.0000553503,nan,nan
190049,-0.2135684043,0.0000549535,nan,nan
200150,-0.2237976100,0.0000556893,nan,nan
