timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0252021477,0.0030009982,nan,nan
30049,-0.1880746102,0.0009167073,nan,nan
50049,-0.7137464741,0.0275151998,nan,nan
70049,-0.4210900125,0.3514278411,nan,nan
90049,0.3913786421,0.0010107990,nan,nan
110049,-0.1535461268,0.0006565282,nan,nan
130049,-0.3543601073,0.0013898217,nan,nan
150049,-0.5663277535,0.0025280614,nan,nan
170049,-0.7369244806,0.0050000773,nan,nan
190049,-1.0015418585,0.0097145705,nan,nan
200499,-1.1828578673,0.0130930903,nan,nan
