timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.2389830775,2.7727156710,nan,nan
30049,-17.8171914816,0.6521820719,nan,nan
50049,-14.9953603148,0.5668438352,nan,nan
70049,-8.0249103308,0.3398090452,nan,nan
90049,-6.1310351640,0.3163143797,nan,nan
110049,-4.5205676332,0.3124728000,nan,nan
130049,-4.0951238647,0.2975834017,nan,nan
150049,-3.0899190679,0.2900282037,nan,nan
170049,-3.1362043619,0.2943286169,nan,nan
190049,-1.6217421461,0.3398057225,nan,nan
210049,-0.8799712301,0.3172772790,nan,nan
230049,-0.0213739881,0.3240442311,nan,nan
250049,0.3987255013,0.2913043911,nan,nan
270049,1.1993373616,0.3050967804,nan,nan
290049,1.5777040273,0.3187674265,nan,nan
310049,2.3002469838,0.3314195941,nan,nan
330049,3.2623570114,0.5617530989,nan,nan
350049,3.6682559401,0.3498968605,nan,nan
370049,6.0538623780,0.5264304504,nan,nan
390049,7.3975939006,0.3688362753,nan,nan
410049,8.3295184821,0.5919598206,nan,nan
