timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0198034410,0.0019520605,nan,nan
30049,0.1016201556,0.0000736504,nan,nan
50049,-0.1109709246,0.0001390245,nan,nan
70049,-0.1163055033,0.0000738224,nan,nan
90049,-0.1149665369,0.0000608155,nan,nan
110049,-0.1278318448,0.0000450018,nan,nan
130049,-0.1461549741,0.0000523695,nan,nan
150049,-0.1527601997,0.0000407904,nan,nan
170049,-0.1670638961,0.0000525768,nan,nan
190049,-0.1800639424,0.0000541710,nan,nan
200150,-0.1897980925,0.0000566051,nan,nan
