timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0354796856,0.0021818246,nan,nan
30049,-0.5093770707,0.0004211727,nan,nan
50049,-0.6907108687,0.0001060209,nan,nan
70049,-0.7797800694,0.0000511779,nan,nan
90049,-0.8322914690,0.0000521591,nan,nan
110049,-0.7799521387,0.0000975842,nan,nan
130049,-0.7342512030,0.0000617007,nan,nan
150049,-0.7748937197,0.0000547876,nan,nan
170049,-0.7914049197,0.0000538966,nan,nan
190049,-0.7954964433,0.0000521032,nan,nan
200150,-0.8066782318,0.0000528099,nan,nan
