timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0197304221,0.0019629860,nan,nan
30049,0.0918334504,0.0000847426,nan,nan
50049,0.0313601396,0.0000243536,nan,nan
70049,-0.0036396584,0.0000159656,nan,nan
90049,-0.0117272537,0.0000139454,nan,nan
110049,-0.0153575904,0.0000113730,nan,nan
130049,-0.0142055230,0.0000206596,nan,nan
150049,0.0129650488,0.0000145282,nan,nan
170049,-0.0102256781,0.0000118523,nan,nan
190049,-0.0147789526,0.0000116663,nan,nan
200150,-0.0165374616,0.0000117101,nan,nan
