timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.3894736250,2.1939834710,nan,nan
30049,1.1962275840,0.5964032887,nan,nan
50049,-22.3852280974,1.5262943953,nan,nan
70049,-23.6813203692,0.5528683281,nan,nan
90049,-24.8366765380,0.4327245513,nan,nan
110049,-25.9935638905,0.4032027316,nan,nan
130049,-28.1096153259,0.3967928290,nan,nan
150049,-29.2147784829,0.6492795725,nan,nan
170049,-30.3120273948,1.5988240056,nan,nan
190049,-30.1000157595,0.4639404588,nan,nan
210049,-31.4327153563,0.4175908132,nan,nan
230049,-32.0447196364,0.6454415033,nan,nan
250049,-32.9801121950,2.8389006979,nan,nan
270049,-33.9253840446,0.4305039425,nan,nan
290049,-35.5518990755,6.1282822439,nan,nan
310049,-35.7824811935,0.7110988423,nan,nan
330049,-30.7245466113,4.8755849749,nan,nan
350049,-25.7864010334,1.0238697510,nan,nan
370049,-24.7810984850,1.5115284137,nan,nan
390049,-26.0707183480,3.9239470307,nan,nan
410049,-26.8867049217,1.3159141419,nan,nan
