timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0566416954,0.0042365023,nan,nan
30049,-0.0933567968,0.0630413286,nan,nan
50049,0.2180756703,0.3347894240,nan,nan
70049,2.6262948886,0.0924435558,nan,nan
90049,2.3066950217,0.0040042181,nan,nan
110049,1.5656541213,0.0017982097,nan,nan
130049,1.3115772046,0.0011646590,nan,nan
150049,1.1756588966,0.0010426970,nan,nan
170049,1.0621023513,0.0008598991,nan,nan
190049,1.0146857817,0.0007625013,nan,nan
200150,0.9649056420,0.0007693942,nan,nan
