timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0109258737,0.0021582916,nan,nan
30049,-0.5603732876,0.0000585358,nan,nan
50049,-0.7030398473,0.0000313494,nan,nan
70049,-0.7503807507,0.0000257803,nan,nan
90049,-0.7681537811,0.0000177466,nan,nan
110049,-0.7743521221,0.0000127001,nan,nan
130049,-0.7780582607,0.0000117344,nan,nan
150049,-0.7818420343,0.0000136303,nan,nan
170049,-0.7845295463,0.0000094706,nan,nan
190049,-0.7821834106,0.0000109062,nan,nan
200150,-0.7896321565,0.0000099103,nan,nan
