timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0212291659,0.0061050096,nan,nan
30049,-0.8964241631,0.0100439010,nan,nan
50049,-3.0813073218,0.2166836020,nan,nan
70049,-1.3523814164,2.0218418427,nan,nan
90049,5.4581415653,0.1601049956,nan,nan
110049,-0.3620106732,0.0152563877,nan,nan
130049,-2.9616944790,0.0101570258,nan,nan
150049,-4.2615155354,0.0096038222,nan,nan
170049,-4.9719675630,0.0090108186,nan,nan
190049,-5.4413935989,0.0089675197,nan,nan
201143,-5.6253735870,0.0086016173,nan,nan
