timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0028208743,0.0025681015,nan,nan
30049,-0.8201652262,0.0002978860,nan,nan
50049,-1.0166037846,0.0001820140,nan,nan
70049,-1.1067711264,0.0001709041,nan,nan
90049,-1.1848882362,0.0001093864,nan,nan
110049,-1.2634767741,0.0001090748,nan,nan
130049,-1.3049187139,0.0000950229,nan,nan
150049,-1.3213153295,0.0000878257,nan,nan
170049,-1.3326393552,0.0001013895,nan,nan
190049,-1.3387733549,0.0001237506,nan,nan
200150,-1.3581799716,0.0000825622,nan,nan
