timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0359708443,0.0021882833,nan,nan
30049,0.2732718810,0.0001879162,nan,nan
50049,-0.0132122678,0.0052778002,nan,nan
70049,-0.6540540014,0.5030407879,nan,nan
90049,1.2316878438,0.0085365021,nan,nan
110049,0.4990346050,0.0002889871,nan,nan
130049,0.2444456988,0.0001696135,nan,nan
150049,0.1573969419,0.0001184601,nan,nan
170049,0.1070178892,0.0000994215,nan,nan
190049,0.0843685719,0.0001182016,nan,nan
200150,0.0673774719,0.0001217013,nan,nan
