timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,0.0207623019,0.0021990592,nan,nan
30049,0.1048721573,0.0001245532,nan,nan
50049,0.0727280227,0.0000822137,nan,nan
70049,-0.0251709577,0.0002261987,nan,nan
90049,-0.1197795398,0.0001516744,nan,nan
110049,-0.1592374835,0.0001384856,nan,nan
130049,-0.1880318471,0.0001365096,nan,nan
150049,-0.2150731171,0.0001296305,nan,nan
170049,-0.2301996322,0.0001667157,nan,nan
190049,-0.2442655046,0.0001635640,nan,nan
200150,-0.2469935357,0.0001486649,nan,nan
