timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0381824968,0.0020005356,nan,nan
30049,-0.6152810939,0.0006830349,nan,nan
50049,-0.6916364133,0.0000912129,nan,nan
70049,-0.7902960442,0.0000493956,nan,nan
90049,-0.8299873825,0.0000383687,nan,nan
110049,-0.8663512487,0.0000377029,nan,nan
130049,-0.8515363447,0.0000351817,nan,nan
150049,-0.8563210908,0.0000333502,nan,nan
170049,-0.8642679732,0.0000321435,nan,nan
190049,-0.8669450041,0.0000321394,nan,nan
200150,-0.8771445733,0.0000350287,nan,nan
