timesteps,policy_loss(actor_loss),value_loss(critic_loss),entropy_loss,total_loss
10049,-0.0381824968,0.0020005356,nan,nan
30049,-0.4604676664,0.0042472516,nan,nan
50049,0.0274672413,0.0065166059,nan,nan
70049,0.1075985927,0.0039002947,nan,nan
90049,-0.4316545799,0.0004742940,nan,nan
110049,-0.7617656756,0.0001169008,nan,nan
130049,-0.8603648338,0.0000853771,nan,nan
150049,-0.8878332600,0.0000621095,nan,nan
170049,-0.8990430366,0.0000572997,nan,nan
190049,-0.9012999535,0.0000664007,nan,nan
200150,-0.9120899029,0.0000584331,nan,nan
